round,client_id,eval_accuracy
0,0,0.7861436576668365
0,1,0.7888945491594498
0,mean,0.7875191034131431
1,0,0.8186449312277126
1,1,0.808762098828324
1,mean,0.8137035150280183
2,0,0.8308711156393276
2,1,0.8183392766174223
2,mean,0.8246051961283749
