Round,"Client (0,1)",Accuracy
0,0,0.807335710646969
0,1,0.810188487009679
0,mean,0.808762098828324
1,0,0.826591951095262
1,1,0.822924095771778
1,mean,0.82475802343352
2,0,0.836169128884361
2,1,0.830565461029037
2,mean,0.833367294956699
